# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
151.18,-33.22,889645.3528,6316528.2263,141.52,19.82
151.27,-33.32,897586.4162,6305089.5970,188.76,19.70
151.21,-33.28,892175.0997,6309756.6868,172.66,23.44
151.20,-33.36,890884.7303,6300915.5196,206.71,26.55
151.19,-33.34,890042.7909,6303172.7726,193.18,20.33
151.25,-33.30,895813.4092,6307385.6017,172.06,19.35
150.67,-33.57,840705.8730,6279481.2332,47.52,16.22
150.46,-34.63,817214.1451,6162540.3955,106.58,19.70
151.20,-33.35,890929.5431,6302025.3696,191.38,21.79
151.17,-33.36,888090.7290,6301027.9445,186.26,22.29
150.59,-34.52,829572.6507,6174329.2938,132.90,24.41
150.58,-34.23,829790.9182,6206541.4134,9.42,1.67
151.30,-33.37,900152.4785,6299425.0075,177.15,17.45
150.56,-34.63,826386.3315,6162220.6793,204.33,44.89
151.24,-33.31,894836.2216,6306313.7142,171.43,21.57
151.23,-33.38,893588.4686,6298582.5477,198.14,21.36
151.29,-33.35,899312.7694,6301683.2825,191.46,19.57
150.59,-34.52,829572.6507,6174329.2938,132.90,24.41
151.22,-33.24,893286.9599,6314158.4013,160.19,21.06
151.19,-33.31,890176.8003,6306502.2982,158.28,18.06
151.29,-33.33,899404.2904,6303903.0828,180.41,20.73
151.22,-33.22,893376.7152,6316378.1035,152.08,19.63
151.17,-33.33,888224.1661,6304357.4414,173.92,20.43
151.19,-33.31,890176.8003,6306502.2982,158.28,18.06
150.63,-33.76,836249.0947,6258530.1998,24.74,6.41
151.23,-33.34,893769.0316,6303022.0174,188.20,20.74
151.20,-33.21,891555.6703,6317563.1831,135.84,18.04
151.29,-33.41,899037.9143,6295023.8629,176.55,21.66
150.16,-34.69,789490.5975,6156787.7010,49.91,9.77
151.20,-33.31,891108.6750,6306464.7614,144.01,19.07
151.19,-33.13,890978.6078,6326479.2952,57.31,10.94
151.19,-33.31,890176.8003,6306502.2982,158.28,18.06
150.56,-34.23,827947.6320,6206606.1040,13.05,2.45
151.22,-33.22,893376.7152,6316378.1035,152.08,19.63
151.29,-33.37,899221.1997,6299463.4791,176.72,16.46
151.22,-33.26,893197.1566,6311938.6958,167.39,21.01
150.55,-34.22,827064.7128,6207747.9212,21.19,3.75
150.94,-33.55,865870.8538,6280778.3196,32.73,4.48
150.24,-34.55,797321.7886,6172087.7703,15.68,10.02
150.21,-34.62,794320.5205,6164409.2089,33.74,9.78
151.23,-33.23,894264.5892,6315230.4917,159.63,20.69
150.93,-33.58,864815.2241,6277484.4760,29.33,6.49
151.20,-33.30,891153.4282,6307574.6073,124.65,23.35
150.29,-34.43,802345.2901,6185253.6220,4.93,2.41
150.62,-33.76,835322.3136,6258562.8286,30.75,8.33
150.58,-34.19,829947.0452,6210979.8934,8.24,2.66
150.63,-33.93,835582.5913,6239666.9482,5.68,4.76
150.40,-34.43,812458.3387,6184919.4198,10.84,1.01
150.76,-34.17,846627.1253,6212601.0287,5.01,2.94
151.15,-33.52,885518.0644,6283345.1764,102.07,18.89
150.88,-33.53,860379.0241,6283208.3004,28.68,6.53
150.57,-34.52,827735.7332,6174394.4221,99.82,19.41
150.54,-34.22,826142.9694,6207780.0347,25.50,4.81
151.21,-33.22,892443.8674,6316415.7690,154.04,19.46
150.16,-34.62,789734.4161,6164554.1966,33.66,7.30
151.29,-33.38,899175.3966,6298353.5762,173.61,16.59
151.19,-33.31,890176.8003,6306502.2982,158.28,18.06
151.22,-33.24,893286.9599,6314158.4013,160.19,21.06
150.15,-34.69,788574.1601,6156816.4510,46.89,9.39
150.51,-34.15,823645.4473,6215642.9326,12.16,9.35
151.27,-33.39,897267.4677,6297320.3683,166.66,16.00
151.28,-33.35,898381.2806,6301721.6525,200.00,18.48
150.32,-34.42,805139.7406,6186273.1035,31.61,9.64
150.31,-34.43,804183.9957,6185193.6782,24.91,8.87
151.25,-33.33,895677.5058,6304055.9762,215.76,22.60
151.25,-33.68,894083.9550,6265209.8098,119.13,22.21
151.24,-33.38,894519.6113,6298544.6111,145.10,16.83
150.56,-34.19,828102.8833,6211044.5484,11.76,3.37
150.58,-34.32,829439.0443,6196554.7686,15.27,4.27
151.21,-33.22,892443.8674,6316415.7690,154.04,19.46
150.32,-34.42,805139.7406,6186273.1035,31.61,9.64
150.52,-34.17,824491.2944,6213391.9473,17.14,7.34
150.89,-33.47,861558.2835,6289831.6115,58.16,8.28
150.57,-34.21,828947.1379,6208793.0375,12.99,2.58
151.25,-33.68,894083.9550,6265209.8098,119.13,22.21
150.57,-34.18,829063.8596,6212121.8791,9.05,3.54
150.54,-34.37,825562.7936,6191135.8585,17.51,3.73
150.52,-34.51,823182.1785,6175665.2725,34.05,11.46
151.24,-33.31,894836.2216,6306313.7142,171.43,21.57
